v1	V(n001)/I(R1)
Step Information: Vg=-3  (Run: 1/8)
3.800000000000002e+000	2.384741e+002
3.900000000000002e+000	2.444328e+002
4.000000000000002e+000	2.506477e+002
4.100000000000001e+000	2.568881e+002
4.200000000000001e+000	2.631261e+002
4.300000000000001e+000	2.693617e+002
4.400000000000000e+000	2.755947e+002
4.500000000000000e+000	2.818253e+002
4.600000000000000e+000	2.880535e+002
4.699999999999999e+000	2.942793e+002
4.799999999999999e+000	3.005025e+002
4.899999999999999e+000	3.067234e+002
5.000000000000000e+000	3.129418e+002
